traffic_id,traffic_date,partner_id,sessions,add_to_cart,checkout_started,conversions
126,2024-09-03,PT00001,10791,1895,1275,84
127,2024-09-04,PT00001,9699,1218,867,52
128,2024-09-05,PT00001,9576,1433,822,36
129,2024-09-06,PT00001,9549,1429,793,22
130,2024-09-07,PT00001,9438,1223,827,54
131,2024-09-08,PT00001,7017,948,590,46
132,2024-09-09,PT00001,10557,1740,1143,70
133,2024-09-10,PT00001,9978,1404,903,62
134,2024-09-11,PT00001,10035,1595,1131,105
135,2024-09-12,PT00001,6927,1042,753,61
136,2024-09-13,PT00001,6348,1038,635,65
137,2024-09-14,PT00001,9045,1551,889,72
138,2024-09-15,PT00001,9063,1308,906,40
139,2024-09-16,PT00001,11274,1917,1423,92
140,2024-09-17,PT00001,10692,1629,1210,92
141,2024-09-18,PT00001,12810,1833,1240,89
142,2024-09-19,PT00001,8787,1450,1002,70
143,2024-09-20,PT00001,8904,964,537,30
144,2024-09-21,PT00001,8406,1328,792,44
145,2024-09-22,PT00001,11343,2011,1235,97
146,2024-09-23,PT00001,8868,1182,687,55
147,2024-09-24,PT00001,8931,1138,847,48
148,2024-09-25,PT00001,12417,1851,1324,83
149,2024-09-26,PT00001,9144,1246,879,61
150,2024-09-27,PT00001,6267,830,577,26
151,2024-09-28,PT00001,7617,1041,658,51
152,2024-09-29,PT00001,10266,1233,877,57
153,2024-09-30,PT00001,8130,1377,919,53
154,2024-10-01,PT00001,6849,968,627,40
155,2024-10-02,PT00001,10479,1583,974,47
156,2024-10-03,PT00001,10299,1314,898,34
157,2024-10-04,PT00001,12525,2010,1487,121
158,2024-10-05,PT00001,11097,1697,1016,45
159,2024-10-06,PT00001,10185,1118,726,53
160,2024-10-07,PT00001,7530,884,552,30
161,2024-10-08,PT00001,10893,1524,1038,66
162,2024-10-09,PT00001,7233,1171,731,33
163,2024-10-10,PT00001,8835,1279,897,71
164,2024-10-11,PT00001,12588,1730,1135,91
165,2024-10-12,PT00001,9498,1047,760,58
166,2024-10-13,PT00001,7479,1026,756,39
167,2024-10-14,PT00001,10725,1505,949,57
168,2024-10-15,PT00001,8163,984,670,35
169,2024-10-16,PT00001,5871,906,649,36
170,2024-10-17,PT00001,8034,1117,716,28
171,2024-10-18,PT00001,13422,1795,1191,102
172,2024-10-19,PT00001,5187,805,529,24
173,2024-10-20,PT00001,12258,1563,1027,64
174,2024-10-21,PT00001,10716,1686,1029,30
175,2024-10-22,PT00001,9363,1417,828,50
176,2024-10-23,PT00001,9042,1340,909,55
177,2024-10-24,PT00001,7638,889,637,42
178,2024-10-25,PT00001,9201,1231,678,55
179,2024-10-26,PT00001,8919,1332,824,63
180,2024-10-27,PT00001,8703,1416,931,46
181,2024-10-28,PT00001,9285,1406,996,67
182,2024-10-29,PT00001,8064,1308,821,78
183,2024-10-30,PT00001,10278,1797,1015,74
184,2024-10-31,PT00001,8649,1099,653,48
185,2024-11-01,PT00001,7449,1109,748,34
186,2024-11-02,PT00001,8169,1229,738,53
187,2024-11-03,PT00001,8688,1152,749,46
188,2024-11-04,PT00001,7836,1186,669,52
189,2024-11-05,PT00001,10263,1652,1216,96
190,2024-11-06,PT00001,8229,1234,699,39
191,2024-11-07,PT00001,12606,2286,1687,119
192,2024-11-08,PT00001,7359,1053,640,40
193,2024-11-09,PT00001,8769,1238,908,53
194,2024-11-10,PT00001,9426,1371,885,74
195,2024-11-11,PT00001,9255,1350,1011,44
196,2024-11-12,PT00001,8355,1346,998,72
197,2024-11-13,PT00001,11256,2081,1273,87
198,2024-11-14,PT00001,13284,2266,1501,79
199,2024-11-15,PT00001,9789,1533,1064,56
200,2024-11-16,PT00001,5994,914,564,41
201,2024-11-17,PT00001,8391,1501,1092,60
202,2024-11-18,PT00001,8691,1232,759,50
203,2024-11-19,PT00001,10833,1669,1071,62
204,2024-11-20,PT00001,8424,1368,1019,77
205,2024-11-21,PT00001,8160,1054,709,41
206,2024-11-22,PT00001,5931,868,635,45
207,2024-11-23,PT00001,10143,1452,1034,69
208,2024-11-24,PT00001,7935,939,565,35
209,2024-11-25,PT00001,6960,1207,797,50
210,2024-11-26,PT00001,7563,1160,859,34
211,2024-11-27,PT00001,11988,1843,1014,74
212,2024-11-28,PT00001,10773,1483,1015,48
213,2024-11-29,PT00001,8865,1342,831,57
214,2024-11-30,PT00001,12060,1890,1327,121
215,2024-12-01,PT00001,12087,1923,1213,82
216,2024-12-02,PT00001,6453,921,620,35
217,2024-12-03,PT00001,9000,1137,704,43
218,2024-12-04,PT00001,8520,1306,771,51
219,2024-12-05,PT00001,8190,1143,808,52
220,2024-12-06,PT00001,5529,947,665,54
221,2024-12-07,PT00001,8562,1227,832,71
222,2024-12-08,PT00001,9693,1548,987,46
223,2024-12-09,PT00001,8283,1357,980,70
224,2024-12-10,PT00001,11088,1586,955,79
225,2024-12-11,PT00001,9657,1291,942,65
226,2024-12-12,PT00001,8793,1341,838,67
227,2024-12-13,PT00001,7785,1049,737,57
228,2024-12-14,PT00001,6222,842,512,30
229,2024-12-15,PT00001,8622,1149,823,54
230,2024-12-16,PT00001,8028,1054,772,28
231,2024-12-17,PT00001,7098,1019,575,49
232,2024-12-18,PT00001,11346,1535,890,45
233,2024-12-19,PT00001,10758,1199,776,59
234,2024-12-20,PT00001,8034,1336,971,61
235,2024-12-21,PT00001,7071,972,625,42
236,2024-12-22,PT00001,7581,1200,766,60
237,2024-12-23,PT00001,9597,1688,994,46
238,2024-12-24,PT00001,10365,1650,1178,79
239,2024-12-25,PT00001,8193,1028,758,63
240,2024-12-26,PT00001,10566,1572,963,53
241,2024-12-27,PT00001,11745,1953,1185,89
242,2024-12-28,PT00001,4350,802,577,30
243,2024-12-29,PT00001,11868,1790,1095,63
244,2024-12-30,PT00001,11604,1769,1123,40
245,2024-12-31,PT00001,5808,918,518,32
246,2025-01-01,PT00001,8655,1323,859,90
247,2025-01-02,PT00001,10278,1807,1321,69
248,2025-01-03,PT00001,10281,1307,839,44
249,2025-01-04,PT00001,8400,1282,942,77
250,2025-01-05,PT00001,11766,1267,924,82
251,2025-01-06,PT00001,11808,1689,1247,108
252,2025-01-07,PT00001,12033,1896,1266,57
253,2025-01-08,PT00001,9309,1265,799,52
254,2025-01-09,PT00001,9150,1316,904,82
255,2025-01-10,PT00001,8919,1316,754,32
256,2025-01-11,PT00001,8640,1377,990,86
257,2025-01-12,PT00001,6003,852,612,40
258,2025-01-13,PT00001,9681,1537,962,85
259,2025-01-14,PT00001,4623,712,487,27
260,2025-01-15,PT00001,5682,767,440,36
261,2025-01-16,PT00001,7701,1117,630,63
262,2025-01-17,PT00001,7893,1202,802,62
263,2025-01-18,PT00001,13080,2234,1547,109
264,2025-01-19,PT00001,9495,1393,876,51
265,2025-01-20,PT00001,8955,1704,1091,95
266,2025-01-21,PT00001,10692,1644,1102,82
267,2025-01-22,PT00001,8298,1150,816,51
268,2025-01-23,PT00001,8637,1463,910,70
269,2025-01-24,PT00001,11793,2220,1476,122
270,2025-01-25,PT00001,9393,1425,866,56
271,2025-01-26,PT00001,8784,1251,881,66
272,2025-01-27,PT00001,10467,1529,991,60
273,2025-01-28,PT00001,6414,1086,803,64
274,2025-01-29,PT00001,6102,777,484,24
275,2025-01-30,PT00001,7674,1223,672,63
276,2025-01-31,PT00001,12942,1998,1199,64
277,2025-02-01,PT00001,9717,1404,796,33
278,2025-02-02,PT00001,10761,1555,1094,69
279,2025-02-03,PT00001,5562,814,581,33
280,2025-02-04,PT00001,7332,1104,741,37
281,2025-02-05,PT00001,10548,1579,1006,71
282,2025-02-06,PT00001,12588,1571,961,66
283,2025-02-07,PT00001,10155,1488,908,63
284,2025-02-08,PT00001,9885,1767,1065,66
285,2025-02-09,PT00001,7572,882,542,31
286,2025-02-10,PT00001,8514,1289,925,64
287,2025-02-11,PT00001,10968,1222,771,38
288,2025-02-12,PT00001,12282,1851,1024,65
289,2025-02-13,PT00001,8292,1318,951,62
290,2025-02-14,PT00001,11340,1606,940,67
291,2025-02-15,PT00001,8184,1024,572,53
292,2025-02-16,PT00001,7245,1042,708,46
293,2025-02-17,PT00001,7359,1216,818,51
294,2025-02-18,PT00001,6996,1055,630,36
295,2025-02-19,PT00001,11589,1925,1406,136
296,2025-02-20,PT00001,7827,1053,657,41
297,2025-02-21,PT00001,11301,1648,941,62
298,2025-02-22,PT00001,6729,1095,808,29
299,2025-02-23,PT00001,6228,936,534,41
300,2025-02-24,PT00001,12297,1804,1334,93
301,2025-02-25,PT00001,7545,1016,706,59
302,2025-02-26,PT00001,6903,815,534,47
303,2025-02-27,PT00001,7863,1257,824,41
304,2025-02-28,PT00001,7698,1125,831,14
305,2025-03-01,PT00001,9315,1350,788,69
306,2025-03-02,PT00001,9369,1325,820,69
307,2025-03-03,PT00001,8622,1337,917,52
308,2025-03-04,PT00001,11439,1699,1036,46
309,2025-03-05,PT00001,11022,1756,1134,103
310,2025-03-06,PT00001,6735,905,607,36
311,2025-03-07,PT00001,8109,1174,815,48
312,2025-03-08,PT00001,8202,1364,854,30
313,2025-03-09,PT00001,6645,1087,779,40
314,2025-03-10,PT00001,6555,1105,626,36
315,2025-03-11,PT00001,8742,1476,1049,96
316,2025-03-12,PT00001,10131,1540,903,52
317,2025-03-13,PT00001,5877,764,545,39
318,2025-03-14,PT00001,9570,1240,853,67
319,2025-03-15,PT00001,8397,1288,770,64
320,2025-03-16,PT00001,8112,1229,838,70
321,2025-03-17,PT00001,13353,1706,1144,52
322,2025-03-18,PT00001,7989,1232,781,41
323,2025-03-19,PT00001,11853,1780,1107,93
324,2025-03-20,PT00001,9030,1531,1120,106
325,2025-03-21,PT00001,10926,1581,1050,75
326,2025-03-22,PT00001,11376,1958,1169,87
327,2025-03-23,PT00001,9318,1324,838,72
328,2025-03-24,PT00001,8505,1577,1178,57
329,2025-03-25,PT00001,9861,1220,781,65
330,2025-03-26,PT00001,9744,1662,943,83
331,2025-03-27,PT00001,6168,1134,696,23
332,2025-03-28,PT00001,7713,1274,795,72
333,2025-03-29,PT00001,6897,1024,640,40
334,2025-03-30,PT00001,7287,1032,763,32
335,2025-03-31,PT00001,9144,1481,1099,67
336,2025-04-01,PT00001,11649,1536,1108,87
337,2025-04-02,PT00001,7572,1143,719,43
338,2025-04-03,PT00001,9780,1768,1310,72
339,2025-04-04,PT00001,8880,1237,806,68
340,2025-04-05,PT00001,8343,1266,789,62
341,2025-04-06,PT00001,9114,1379,849,66
342,2025-04-07,PT00001,8049,1157,644,27
343,2025-04-08,PT00001,6519,1212,798,57
344,2025-04-09,PT00001,10650,1750,1153,88
345,2025-04-10,PT00001,10089,1444,982,72
346,2025-04-11,PT00001,10158,1484,946,67
347,2025-04-12,PT00001,7818,1243,757,48
348,2025-04-13,PT00001,11550,1759,1117,90
349,2025-04-14,PT00001,5475,853,497,23
350,2025-04-15,PT00001,9477,1357,844,39
351,2025-04-16,PT00001,8520,1434,813,27
352,2025-04-17,PT00001,9552,1165,735,26
353,2025-04-18,PT00001,5550,664,409,38
354,2025-04-19,PT00001,6825,1074,613,46
355,2025-04-20,PT00001,8184,1153,747,73
356,2025-04-21,PT00001,10317,1731,1145,80
357,2025-04-22,PT00001,10905,1523,883,59
358,2025-04-23,PT00001,6366,1033,659,48
359,2025-04-24,PT00001,10161,1212,737,28
360,2025-04-25,PT00001,12501,2079,1483,84
361,2025-04-26,PT00001,10158,1172,733,65
362,2025-04-27,PT00001,8244,1189,845,72
363,2025-04-28,PT00001,10221,1526,1067,76
364,2025-04-29,PT00001,9888,1692,937,75
365,2025-04-30,PT00001,11088,1711,1189,60
366,2025-05-01,PT00001,7689,1270,868,30
367,2025-05-02,PT00001,9534,1283,761,32
368,2025-05-03,PT00001,5769,1037,600,41
369,2025-05-04,PT00001,9252,1484,1105,69
370,2025-05-05,PT00001,9972,1495,990,65
371,2025-05-06,PT00001,10098,1509,926,73
372,2025-05-07,PT00001,9762,1642,1095,60
373,2025-05-08,PT00001,6225,855,569,34
374,2025-05-09,PT00001,7695,1063,751,41
375,2025-05-10,PT00001,6759,944,589,49
376,2025-05-11,PT00001,7791,1125,811,72
377,2025-05-12,PT00001,8796,1154,816,46
378,2025-05-13,PT00001,10560,1562,929,63
379,2025-05-14,PT00001,8061,1224,796,70
380,2025-05-15,PT00001,6393,940,555,45
381,2025-05-16,PT00001,6030,809,481,28
382,2025-05-17,PT00001,10362,1541,987,64
383,2025-05-18,PT00001,11316,1780,1003,58
384,2025-05-19,PT00001,8298,1120,662,39
385,2025-05-20,PT00001,8436,1370,878,58
386,2025-05-21,PT00001,7452,1171,729,52
387,2025-05-22,PT00001,5364,844,481,32
388,2025-05-23,PT00001,8475,1379,931,36
389,2025-05-24,PT00001,9225,1453,870,50
390,2025-05-25,PT00001,11694,2040,1476,81
391,2025-05-26,PT00001,7938,1184,752,61
392,2025-05-27,PT00001,10074,1386,878,69
393,2025-05-28,PT00001,9519,1433,937,72
394,2025-05-29,PT00001,13380,1726,1293,88
395,2025-05-30,PT00001,9615,1562,1126,76
396,2025-05-31,PT00001,7383,782,533,28
397,2025-06-01,PT00001,9663,1400,807,41
398,2025-06-02,PT00001,10506,1671,1193,74
399,2025-06-03,PT00001,10449,1600,1179,71
400,2025-06-04,PT00001,10194,1369,774,45
401,2025-06-05,PT00001,8103,1373,969,39
402,2025-06-06,PT00001,6474,688,405,17
403,2025-06-07,PT00001,7959,1397,929,38
404,2025-06-08,PT00001,9618,1304,727,45
405,2025-06-09,PT00001,11928,1879,1104,68
406,2025-06-10,PT00001,8514,1076,805,43
407,2025-06-11,PT00001,10872,1711,1243,72
408,2025-06-12,PT00001,8199,1151,745,59
409,2025-06-13,PT00001,6078,986,666,33
410,2025-06-14,PT00001,7506,956,552,44
411,2025-06-15,PT00001,11211,1400,850,50
412,2025-06-16,PT00001,8952,1741,1093,65
413,2025-06-17,PT00001,7515,1254,905,51
414,2025-06-18,PT00001,10344,1946,1330,83
415,2025-06-19,PT00001,11106,1504,847,31
416,2025-06-20,PT00001,11613,1832,1279,42
417,2025-06-21,PT00001,9804,1478,872,61
418,2025-06-22,PT00001,8940,1525,893,59
419,2025-06-23,PT00001,9243,1735,1215,81
420,2025-06-24,PT00001,6348,1035,761,60
421,2025-06-25,PT00001,6696,1167,737,42
422,2025-06-26,PT00001,11316,1746,1205,92
423,2025-06-27,PT00001,9009,1355,856,42
424,2025-06-28,PT00001,11763,1880,1354,91
425,2025-06-29,PT00001,10311,1800,1060,62
426,2025-06-30,PT00001,11778,1307,920,20
427,2025-07-01,PT00001,9309,1467,817,59
428,2025-07-02,PT00001,9678,1509,964,63
429,2025-07-03,PT00001,8730,1366,842,49
430,2025-07-04,PT00001,10968,1468,1088,62
431,2025-07-05,PT00001,10692,1451,878,60
432,2025-07-06,PT00001,8139,918,546,29
433,2025-07-07,PT00001,7938,1038,616,39
434,2025-07-08,PT00001,11361,1535,958,51
435,2025-07-09,PT00001,8892,1272,813,32
436,2025-07-10,PT00001,9375,1570,1009,73
437,2025-07-11,PT00001,8784,1334,879,54
438,2025-07-12,PT00001,7860,1019,699,47
439,2025-07-13,PT00001,8304,1233,917,56
440,2025-07-14,PT00001,9258,1483,939,62
441,2025-07-15,PT00001,10101,1677,991,73
442,2025-07-16,PT00001,8145,1169,845,61
443,2025-07-17,PT00001,9954,1544,1015,72
444,2025-07-18,PT00001,9084,1661,1163,72
445,2025-07-19,PT00001,13164,1925,1286,78
446,2025-07-20,PT00001,9657,1562,868,71
447,2025-07-21,PT00001,8133,1056,712,43
448,2025-07-22,PT00001,10560,1589,946,58
449,2025-07-23,PT00001,6972,991,637,38
450,2025-07-24,PT00001,7629,1176,655,41
451,2025-07-25,PT00001,8835,1555,1124,102
452,2025-07-26,PT00001,10002,1497,1114,77
453,2025-07-27,PT00001,7167,1006,741,49
454,2025-07-28,PT00001,8403,1374,903,66
455,2025-07-29,PT00001,11847,1959,1464,97
456,2025-07-30,PT00001,10416,1579,937,69
457,2025-07-31,PT00001,8094,1345,892,45
458,2025-08-01,PT00001,10626,1759,1167,56
459,2025-08-02,PT00001,8475,1178,759,51
460,2025-08-03,PT00001,8598,1252,875,42
461,2025-08-04,PT00001,10236,1616,1082,102
462,2025-08-05,PT00001,10023,1692,942,58
463,2025-08-06,PT00001,9558,1673,1241,69
464,2025-08-07,PT00001,6336,796,458,22
465,2025-08-08,PT00001,6495,1022,653,42
466,2025-08-09,PT00001,8553,1286,857,73
467,2025-08-10,PT00001,7437,1009,610,37
468,2025-08-11,PT00001,9228,1309,893,56
469,2025-08-12,PT00001,9558,1409,988,65
470,2025-08-13,PT00001,7611,1014,665,21
471,2025-08-14,PT00001,10692,1530,1048,42
472,2025-08-15,PT00001,5811,785,492,35
473,2025-08-16,PT00001,12273,2254,1421,86
474,2025-08-17,PT00001,11304,1305,907,49
475,2025-08-18,PT00001,9399,1387,785,51
476,2025-08-19,PT00001,7674,1140,736,29
477,2025-08-20,PT00001,8490,1042,727,40
478,2025-08-21,PT00001,12585,1649,1016,75
479,2025-08-22,PT00001,6183,1074,763,55
480,2025-08-23,PT00001,8706,1315,736,39
481,2025-08-24,PT00001,8043,1253,796,49
482,2025-08-25,PT00001,7395,1215,719,50
483,2025-08-26,PT00001,7974,1437,985,57
484,2025-08-27,PT00001,11205,1533,1020,42
485,2025-08-28,PT00001,7857,1077,681,58
486,2025-08-29,PT00001,11562,1729,1110,60
487,2025-08-30,PT00001,8988,1569,876,48
488,2025-08-31,PT00001,7860,1232,786,55
489,2025-09-01,PT00001,8037,1340,849,51
490,2025-09-02,PT00001,8382,1208,812,55
491,2025-09-03,PT00001,10416,1392,928,51
492,2025-09-04,PT00001,9813,1475,992,70
493,2025-09-05,PT00001,9819,1637,969,65
494,2025-09-06,PT00001,10989,1759,1147,93
495,2025-09-07,PT00001,9408,1245,687,41
496,2025-09-08,PT00001,11790,1673,1063,75
497,2025-09-09,PT00001,9117,1371,928,77
498,2025-09-10,PT00001,7359,1098,686,12
499,2025-09-11,PT00001,9720,1286,747,56
500,2025-09-12,PT00001,8583,1227,703,37
501,2025-09-13,PT00001,10437,1655,928,58
502,2025-09-14,PT00001,9486,1447,1035,63
503,2025-09-15,PT00001,9609,1211,774,65
504,2025-09-16,PT00001,10665,1357,819,56
505,2025-09-17,PT00001,7029,973,605,35
506,2025-09-18,PT00001,7305,1123,658,35
507,2025-09-19,PT00001,8805,1364,771,53
508,2025-09-20,PT00001,5796,793,535,38
509,2025-09-21,PT00001,8685,1502,889,48
510,2025-09-22,PT00001,6936,969,577,38
511,2025-09-23,PT00001,7728,999,720,25
512,2025-09-24,PT00001,9210,1608,1040,83
513,2025-09-25,PT00001,7896,1272,789,45
514,2025-09-26,PT00001,8895,1289,924,65
515,2025-09-27,PT00001,6060,856,565,27
516,2025-09-28,PT00001,6312,967,709,42
517,2025-09-29,PT00001,11136,1715,968,75
518,2025-09-30,PT00001,10266,1514,1109,47
519,2025-10-01,PT00001,10788,1223,781,36
520,2025-10-02,PT00001,8307,1218,744,75
521,2025-10-03,PT00001,7980,1043,696,64
522,2025-10-04,PT00001,7287,1108,673,59
523,2025-10-05,PT00001,8391,1135,711,50
524,2025-10-06,PT00001,11274,1714,1284,68
525,2025-10-07,PT00001,7866,1345,900,55
526,2025-10-08,PT00001,7467,1249,900,66
527,2025-10-09,PT00001,6921,997,717,45
528,2025-10-10,PT00001,7866,1204,701,66
529,2025-10-11,PT00001,10758,1551,1102,83
530,2025-10-12,PT00001,11475,1889,1144,78
531,2025-10-13,PT00001,7845,1166,724,64
532,2025-10-14,PT00001,8559,1122,648,51
533,2025-10-15,PT00001,9792,1083,698,51
534,2025-10-16,PT00001,7818,1216,821,48
535,2025-10-17,PT00001,9372,1536,998,76
536,2025-10-18,PT00001,7335,963,643,49
537,2025-10-19,PT00001,6915,914,533,31
538,2025-10-20,PT00001,8100,1072,758,53
539,2025-10-21,PT00001,5208,798,499,30
540,2025-10-22,PT00001,10635,1752,1216,65
541,2025-10-23,PT00001,4062,685,379,25
542,2025-10-24,PT00001,9744,1489,846,56
543,2025-10-25,PT00001,6531,939,618,50
544,2025-10-26,PT00001,6582,821,598,50
545,2025-10-27,PT00001,13713,2441,1348,63
546,2025-10-28,PT00001,5580,808,596,46
547,2025-10-29,PT00001,9903,1525,1065,84
548,2025-10-30,PT00001,9588,1093,649,47
549,2025-10-31,PT00001,8586,1401,875,55
550,2025-11-01,PT00001,7683,1239,831,53
551,2025-11-02,PT00001,13002,2078,1457,95
552,2025-11-03,PT00001,9540,1332,753,68
553,2025-11-04,PT00001,11277,1998,1288,77
554,2025-11-05,PT00001,9978,1702,976,87
555,2025-11-06,PT00001,9189,968,613,48
556,2025-11-07,PT00001,8346,1204,834,44
557,2025-11-08,PT00001,9504,1145,712,37
558,2025-11-09,PT00001,12144,1821,1186,90
559,2025-11-10,PT00001,8625,1103,743,43
560,2025-11-11,PT00001,13098,2348,1733,134
561,2025-11-12,PT00001,8139,1297,889,57
562,2025-11-13,PT00001,7632,959,667,41
563,2025-11-14,PT00001,12465,2073,1142,95
564,2025-11-15,PT00001,9273,1387,1021,71
565,2025-11-16,PT00001,8757,1218,739,35
566,2025-11-17,PT00001,11985,2112,1324,85
567,2025-11-18,PT00001,6636,891,635,47
568,2025-11-19,PT00001,7686,948,649,42
569,2025-11-20,PT00001,8553,1459,949,50
570,2025-11-21,PT00001,10272,1432,1046,56
571,2025-11-22,PT00001,8376,1361,944,74
572,2025-11-23,PT00001,7728,978,684,43
573,2025-11-24,PT00001,9558,1683,1197,49
574,2025-11-25,PT00001,12534,1579,1090,71
575,2025-11-26,PT00001,8073,1197,779,63
576,2025-11-27,PT00001,9549,1240,849,74
577,2025-11-28,PT00001,8646,1581,1113,66
