customer_id,partner_id,first_purchase_date,last_purchase_date,total_orders,ltv_krw,segment,payment_method
CU0000045,PT00023,2025-07-13,2025-07-13,1,1552435,Mid,Installment
CU0000046,PT00063,2024-10-17,2024-10-17,1,1940555,Mid,Card
CU0000047,PT00060,2025-04-27,2025-04-27,1,3387964,Premium,Card
CU0000048,PT00073,2025-10-26,2025-12-14,5,4222527,Premium,Card
CU0000049,PT00041,2025-12-17,2026-02-26,3,2904796,Mid,Installment
CU0000050,PT00065,2024-09-08,2024-09-08,1,1284546,Mid,Card
CU0000051,PT00007,2025-08-14,2026-04-06,2,846566,Entry,Card
CU0000052,PT00028,2025-12-02,2025-12-02,1,603515,Entry,Carrier Subscription
CU0000053,PT00072,2025-11-09,2025-12-01,2,1470293,Mid,Carrier Subscription
CU0000054,PT00007,2025-12-26,2026-01-26,2,3301077,Premium,Card
CU0000055,PT00004,2024-12-28,2025-03-21,2,2465299,Mid,Installment
CU0000056,PT00004,2025-07-24,2025-07-24,1,1556559,Mid,Installment
CU0000057,PT00019,2024-05-20,2024-05-20,1,1431531,Mid,Card
CU0000058,PT00077,2026-04-22,2026-04-22,1,1494246,Mid,Card
CU0000059,PT00077,2024-12-29,2024-12-29,1,1556181,Mid,Card
CU0000060,PT00014,2025-07-22,2026-04-11,3,2248277,Mid,Card
CU0000061,PT00027,2026-04-06,2026-04-29,5,4174863,Premium,Card
CU0000062,PT00020,2025-02-16,2025-02-16,1,1276018,Mid,Card
CU0000063,PT00048,2025-03-05,2025-08-06,5,3619439,Mid,Installment
CU0000064,PT00016,2024-06-29,2025-10-01,2,764571,Entry,Installment
CU0000065,PT00038,2025-10-19,2026-03-29,2,1136430,Entry,Card
CU0000066,PT00079,2025-08-31,2025-08-31,1,1089838,Mid,Carrier Subscription
CU0000067,PT00059,2024-11-05,2024-11-05,1,3102148,Premium,Card
CU0000068,PT00012,2024-07-19,2026-01-11,3,2178837,Mid,Card
CU0000069,PT00036,2025-12-22,2025-12-22,1,1203087,Mid,Card
CU0000070,PT00033,2024-12-21,2026-04-01,5,2958292,Mid,Card
CU0000071,PT00061,2026-01-16,2026-01-16,1,1645781,Mid,Card
CU0000072,PT00012,2024-08-03,2026-04-13,2,1199387,Entry,Card
CU0000073,PT00012,2025-07-14,2025-07-14,1,1197992,Mid,Carrier Subscription
CU0000074,PT00027,2025-12-29,2025-12-29,1,2258641,Premium,Card
CU0000075,PT00011,2024-06-01,2024-06-01,1,860132,Entry,Card
CU0000076,PT00006,2025-01-25,2025-01-25,1,1618128,Mid,Installment
CU0000077,PT00069,2025-06-18,2025-12-01,3,2742135,Mid,Card
CU0000078,PT00026,2025-09-26,2025-09-26,1,534419,Entry,Card
CU0000079,PT00057,2025-02-12,2025-04-06,2,1607526,Mid,Carrier Subscription
CU0000080,PT00010,2025-05-28,2026-02-03,3,5183518,Premium,Installment
CU0000081,PT00030,2025-01-21,2025-01-21,1,837888,Entry,Installment
CU0000082,PT00063,2024-05-10,2026-02-28,10,2945241,Mid,Card
CU0000083,PT00016,2025-03-23,2026-04-07,5,3272105,Mid,Card
CU0000084,PT00070,2024-07-21,2024-07-21,1,768682,Entry,Carrier Subscription
CU0000085,PT00064,2025-04-02,2025-04-02,1,1184624,Mid,Installment
CU0000086,PT00070,2025-02-06,2026-01-29,5,2283155,Mid,Card
CU0000087,PT00077,2025-11-01,2025-11-30,2,2427393,Mid,Installment
CU0000088,PT00066,2025-04-04,2025-04-04,1,1545245,Mid,Card
CU0000089,PT00034,2024-09-14,2024-09-14,1,494377,Entry,Installment
CU0000090,PT00055,2025-11-21,2025-11-21,1,1269146,Mid,Carrier Subscription
CU0000091,PT00044,2025-06-10,2025-06-10,1,1205746,Mid,Card
CU0000092,PT00053,2025-09-18,2025-12-31,2,2450870,Mid,Installment
CU0000093,PT00007,2025-08-22,2026-03-19,2,856079,Entry,Installment
CU0000094,PT00078,2025-12-23,2025-12-23,1,633024,Entry,Card
CU0000095,PT00015,2025-05-11,2025-11-07,2,872528,Entry,Installment
CU0000096,PT00066,2025-04-04,2025-04-04,1,1258578,Mid,Installment
CU0000097,PT00015,2026-02-01,2026-04-12,2,3361095,Premium,Installment
CU0000098,PT00031,2025-08-04,2025-08-04,1,2993755,Premium,Carrier Subscription
CU0000099,PT00062,2024-11-25,2025-08-02,2,2523898,Mid,Carrier Subscription
CU0000100,PT00055,2026-02-21,2026-03-16,2,671812,Entry,Installment
CU0000101,PT00052,2026-02-05,2026-02-05,1,755208,Entry,Card
CU0000102,PT00057,2026-04-26,2026-04-26,1,1706969,Mid,Card
CU0000103,PT00018,2024-07-07,2024-07-07,1,1148711,Mid,Card
CU0000104,PT00006,2024-12-03,2024-12-03,1,1297081,Mid,Card
CU0000105,PT00069,2026-03-16,2026-03-16,1,1267407,Mid,Card
CU0000106,PT00055,2025-04-16,2025-04-16,1,1358877,Mid,Card
CU0000107,PT00021,2024-11-06,2025-11-01,2,2083514,Mid,Card
CU0000108,PT00009,2025-07-17,2025-07-17,1,3240358,Premium,Card
CU0000109,PT00075,2025-08-18,2026-01-12,2,680031,Entry,Card
CU0000110,PT00027,2025-01-17,2025-01-17,1,1922059,Mid,Card
CU0000111,PT00023,2024-05-23,2024-05-23,1,2116144,Premium,Installment
CU0000112,PT00045,2025-05-19,2025-05-19,1,874179,Entry,Installment
CU0000113,PT00075,2026-02-20,2026-02-20,1,666531,Entry,Card
CU0000114,PT00063,2025-01-08,2025-01-08,1,1992405,Premium,Installment
CU0000115,PT00068,2024-09-19,2024-09-19,1,699891,Entry,Card
CU0000116,PT00051,2025-05-14,2025-05-14,1,2020117,Premium,Card
CU0000117,PT00012,2024-10-12,2024-10-12,1,696967,Entry,Card
CU0000118,PT00067,2025-01-31,2025-08-19,3,2806073,Mid,Card
CU0000119,PT00013,2025-01-20,2025-08-25,3,1750574,Mid,Card
CU0000120,PT00027,2026-03-15,2026-04-12,3,1060919,Entry,Installment
CU0000121,PT00037,2025-10-27,2026-04-15,2,2097856,Mid,Card
CU0000122,PT00008,2024-12-01,2024-12-01,1,2302228,Premium,Card
CU0000123,PT00055,2025-07-06,2025-07-06,1,1621004,Mid,Carrier Subscription
CU0000124,PT00021,2024-05-08,2025-06-13,2,1665327,Mid,Carrier Subscription
CU0000125,PT00069,2024-09-26,2024-12-01,3,1175598,Entry,Card
CU0000126,PT00065,2024-11-04,2024-11-04,1,2969983,Premium,Card
CU0000127,PT00025,2025-11-11,2026-01-28,2,2262346,Mid,Card
CU0000128,PT00007,2025-05-15,2025-05-15,1,712293,Entry,Carrier Subscription
CU0000129,PT00071,2025-07-06,2026-04-26,3,5053403,Premium,Card
CU0000130,PT00033,2024-11-03,2024-11-03,1,1590945,Mid,Installment
CU0000131,PT00028,2025-10-19,2025-10-19,1,850677,Entry,Carrier Subscription
CU0000132,PT00006,2025-05-05,2025-05-05,1,3181430,Premium,Installment
CU0000133,PT00079,2025-09-14,2025-09-14,1,875318,Entry,Card
CU0000134,PT00044,2025-11-04,2025-11-04,1,3223207,Premium,Card
CU0000135,PT00011,2025-05-17,2025-05-17,1,769695,Entry,Installment
CU0000136,PT00014,2025-04-14,2026-02-15,2,3007998,Premium,Installment
CU0000137,PT00019,2024-05-14,2024-07-25,5,1409677,Entry,Card
CU0000138,PT00001,2024-12-15,2024-12-15,1,2074096,Premium,Card
CU0000139,PT00006,2024-10-20,2025-08-30,2,880767,Entry,Card
CU0000140,PT00067,2025-10-20,2025-12-06,3,1184161,Entry,Card
CU0000141,PT00009,2024-12-24,2024-12-24,1,652411,Entry,Carrier Subscription
CU0000142,PT00046,2025-09-28,2026-02-18,3,823730,Entry,Installment
CU0000143,PT00056,2025-05-03,2025-05-03,1,770915,Entry,Card
CU0000144,PT00056,2025-07-04,2026-01-26,5,2635213,Mid,Installment
CU0000145,PT00066,2025-01-23,2025-01-23,1,1103789,Mid,Carrier Subscription
CU0000146,PT00023,2025-03-27,2025-12-08,2,1170333,Entry,Installment
CU0000147,PT00029,2025-01-29,2026-01-16,3,4906215,Premium,Card
CU0000148,PT00072,2024-11-27,2024-11-27,1,690070,Entry,Card
CU0000149,PT00080,2024-12-25,2024-12-25,1,2440576,Premium,Card
CU0000150,PT00060,2024-11-12,2025-05-10,5,2164652,Mid,Installment
CU0000151,PT00042,2024-08-02,2026-02-13,3,4790979,Premium,Card
CU0000152,PT00078,2024-09-27,2024-09-27,1,2555217,Premium,Installment
CU0000153,PT00038,2025-01-01,2025-01-01,1,883039,Entry,Card
CU0000154,PT00071,2024-08-01,2026-03-01,3,1833988,Mid,Installment
CU0000155,PT00049,2025-06-21,2026-04-13,3,2588481,Mid,Carrier Subscription
CU0000156,PT00070,2025-10-19,2025-10-19,1,1536582,Mid,Card
CU0000157,PT00048,2024-09-21,2024-09-21,1,1526850,Mid,Card
CU0000158,PT00041,2024-09-26,2024-09-26,1,1719110,Mid,Installment
CU0000159,PT00033,2024-10-16,2025-10-27,3,2951518,Mid,Card
CU0000160,PT00073,2024-12-01,2026-03-03,3,5452094,Premium,Card
CU0000161,PT00031,2025-12-12,2026-03-23,2,1190133,Entry,Installment
CU0000162,PT00037,2025-08-07,2025-08-07,1,1618248,Mid,Installment
CU0000163,PT00038,2024-12-06,2025-02-22,3,3196645,Premium,Card
CU0000164,PT00066,2026-02-06,2026-02-24,2,2843818,Premium,Installment
CU0000165,PT00011,2024-12-17,2024-12-17,1,1663434,Mid,Carrier Subscription
CU0000166,PT00047,2024-10-24,2025-07-31,5,1447748,Entry,Carrier Subscription
CU0000167,PT00074,2024-09-17,2024-09-17,1,1057706,Mid,Installment
CU0000168,PT00055,2024-12-21,2024-12-31,2,1966972,Mid,Card
CU0000169,PT00014,2025-11-01,2025-11-01,1,1717954,Mid,Installment
CU0000170,PT00037,2025-06-19,2025-06-19,1,607156,Entry,Card
CU0000171,PT00007,2024-08-07,2024-08-07,1,1935132,Mid,Card
CU0000172,PT00047,2024-11-30,2024-11-30,1,570719,Entry,Card
CU0000173,PT00056,2024-06-05,2024-06-05,1,3554416,Premium,Installment
CU0000174,PT00068,2024-06-12,2024-06-12,1,1493454,Mid,Card
CU0000175,PT00017,2025-07-04,2025-10-25,2,793727,Entry,Installment
CU0000176,PT00009,2025-10-24,2025-10-24,1,1073296,Mid,Installment
CU0000177,PT00055,2024-08-07,2024-08-07,1,550722,Entry,Installment
CU0000178,PT00004,2025-09-08,2025-09-08,1,1157621,Mid,Card
CU0000179,PT00005,2026-03-06,2026-03-06,1,2852746,Premium,Card
CU0000180,PT00076,2025-12-06,2025-12-06,1,884638,Entry,Installment
CU0000181,PT00058,2025-05-17,2025-05-17,1,1200297,Mid,Card
CU0000182,PT00069,2024-07-19,2024-07-19,1,1188545,Mid,Card
CU0000183,PT00014,2026-03-09,2026-03-10,2,1537399,Mid,Carrier Subscription
CU0000184,PT00008,2025-07-20,2025-07-20,1,1061635,Mid,Installment
CU0000185,PT00060,2024-12-07,2024-12-07,1,889237,Entry,Installment
CU0000186,PT00065,2025-04-30,2025-04-30,1,1788225,Mid,Card
CU0000187,PT00037,2025-05-07,2025-05-07,1,1175897,Mid,Carrier Subscription
CU0000188,PT00055,2025-04-08,2025-08-18,3,2979218,Mid,Card
CU0000189,PT00069,2024-09-21,2024-09-21,1,2669357,Premium,Card
CU0000190,PT00041,2024-06-09,2024-06-09,1,1909512,Mid,Carrier Subscription
CU0000191,PT00080,2024-11-13,2024-11-13,1,774648,Entry,Card
CU0000192,PT00009,2026-03-01,2026-03-01,1,1409670,Mid,Card
CU0000193,PT00045,2025-05-07,2025-06-20,2,3551651,Premium,Installment
CU0000194,PT00063,2026-01-29,2026-02-04,2,1747868,Mid,Installment
CU0000195,PT00059,2025-03-08,2025-03-08,1,1506409,Mid,Card
CU0000196,PT00066,2025-05-17,2025-06-14,2,1805790,Mid,Carrier Subscription
CU0000197,PT00034,2025-07-23,2026-03-24,2,1627682,Mid,Carrier Subscription
CU0000198,PT00076,2025-10-16,2025-11-05,2,4726056,Premium,Card
CU0000199,PT00071,2024-08-26,2024-08-26,1,2363123,Premium,Card
CU0000200,PT00034,2024-08-24,2025-11-04,2,961872,Entry,Card
CU0000201,PT00047,2024-12-22,2024-12-22,1,612925,Entry,Installment
CU0000202,PT00061,2024-07-06,2025-01-14,2,1507497,Mid,Card
CU0000203,PT00001,2024-08-01,2024-08-01,1,1897516,Mid,Card
CU0000204,PT00049,2025-07-08,2025-12-16,3,2904737,Mid,Card
CU0000205,PT00002,2025-08-14,2025-08-14,1,544360,Entry,Card
CU0000206,PT00066,2025-08-07,2025-08-07,1,1689310,Mid,Card
CU0000207,PT00066,2026-01-05,2026-01-05,1,1332883,Mid,Installment
CU0000208,PT00043,2025-08-24,2025-08-24,1,1096793,Mid,Card
CU0000209,PT00037,2024-10-23,2024-10-23,1,3340974,Premium,Card
CU0000210,PT00021,2025-12-24,2025-12-24,1,626367,Entry,Card
CU0000211,PT00054,2025-06-10,2025-06-10,1,1097272,Mid,Card
CU0000212,PT00048,2025-02-20,2025-02-20,1,796178,Entry,Card
CU0000213,PT00022,2025-04-15,2025-04-15,1,2735539,Premium,Installment
CU0000214,PT00072,2026-04-06,2026-04-06,1,568066,Entry,Installment
CU0000215,PT00043,2025-04-09,2025-04-09,1,1947205,Mid,Card
CU0000216,PT00013,2024-12-17,2026-03-19,2,1187695,Entry,Card
CU0000217,PT00074,2025-03-30,2025-11-22,5,2009795,Mid,Card
CU0000218,PT00065,2025-07-16,2025-07-16,1,1497172,Mid,Installment
CU0000219,PT00079,2025-08-26,2025-08-26,1,1252722,Mid,Card
CU0000220,PT00026,2024-06-16,2024-06-16,1,1609463,Mid,Carrier Subscription
CU0000221,PT00040,2025-08-17,2025-09-24,5,2012704,Mid,Carrier Subscription
CU0000222,PT00077,2025-12-14,2026-01-23,2,2097032,Mid,Installment
CU0000223,PT00046,2025-08-29,2025-11-18,2,1830949,Mid,Card
CU0000224,PT00065,2024-11-22,2026-04-18,2,2522815,Mid,Card
CU0000225,PT00065,2024-07-03,2024-11-01,2,4777292,Premium,Installment
CU0000226,PT00028,2024-11-03,2024-11-03,1,560169,Entry,Card
CU0000227,PT00009,2024-09-13,2024-09-13,1,2910532,Premium,Card
CU0000228,PT00064,2025-07-03,2025-08-01,3,893129,Entry,Installment
CU0000229,PT00037,2024-08-30,2024-08-30,1,869969,Entry,Card
CU0000230,PT00015,2024-05-03,2025-03-16,2,1830813,Mid,Installment
CU0000231,PT00064,2025-04-15,2026-01-07,3,2610294,Mid,Installment
CU0000232,PT00031,2025-08-05,2025-08-05,1,541902,Entry,Installment
CU0000233,PT00070,2025-04-30,2025-08-21,2,1861045,Mid,Installment
CU0000234,PT00052,2024-05-26,2024-05-26,1,3160724,Premium,Card
CU0000235,PT00045,2024-10-27,2024-10-27,1,1682574,Mid,Installment
CU0000236,PT00059,2024-12-10,2024-12-10,1,1221551,Mid,Card
CU0000237,PT00016,2025-11-01,2025-11-01,1,2589379,Premium,Card
CU0000238,PT00074,2024-12-06,2024-12-06,1,1456627,Mid,Card
CU0000239,PT00049,2025-10-29,2026-04-13,2,2007796,Mid,Card
CU0000240,PT00031,2025-04-18,2025-05-15,2,4480590,Premium,Carrier Subscription
CU0000241,PT00001,2025-10-16,2025-10-16,1,1424705,Mid,Card
CU0000242,PT00045,2024-10-29,2024-10-29,1,1717003,Mid,Card
CU0000243,PT00076,2026-04-18,2026-04-18,1,604314,Entry,Installment
CU0000244,PT00046,2024-11-22,2024-11-22,1,1220480,Mid,Card
CU0000245,PT00063,2026-01-02,2026-01-02,1,1493504,Mid,Card
CU0000246,PT00039,2026-01-05,2026-01-05,1,2831489,Premium,Installment
CU0000247,PT00079,2025-08-29,2025-08-29,1,2052780,Premium,Installment
CU0000248,PT00059,2025-08-02,2025-08-02,1,892562,Entry,Card
CU0000249,PT00038,2025-09-26,2025-12-11,3,828896,Entry,Carrier Subscription
CU0000250,PT00004,2025-03-27,2025-03-27,1,497010,Entry,Card
CU0000251,PT00074,2024-07-29,2025-09-24,2,827312,Entry,Card
CU0000252,PT00054,2024-10-22,2024-10-22,1,1612067,Mid,Card
CU0000253,PT00021,2025-09-16,2025-11-12,2,1089473,Entry,Installment
CU0000254,PT00019,2026-04-06,2026-04-12,5,2337967,Mid,Card
CU0000255,PT00046,2026-02-02,2026-02-02,1,1411228,Mid,Card
CU0000256,PT00077,2024-08-19,2024-10-13,2,977925,Entry,Installment
CU0000257,PT00062,2024-06-16,2024-06-16,1,491469,Entry,Card
CU0000258,PT00007,2024-09-06,2024-09-06,1,1901870,Mid,Carrier Subscription
CU0000259,PT00008,2026-01-06,2026-01-06,1,1237209,Mid,Carrier Subscription
CU0000260,PT00031,2024-12-25,2024-12-25,1,1437143,Mid,Card
CU0000261,PT00002,2025-08-06,2025-08-06,1,1619949,Mid,Card
CU0000262,PT00038,2025-12-03,2026-03-23,3,2252553,Mid,Installment
CU0000263,PT00066,2026-04-16,2026-04-16,1,1483324,Mid,Installment
CU0000264,PT00034,2024-12-11,2024-12-11,1,1327544,Mid,Installment
CU0000265,PT00022,2025-04-07,2025-05-25,3,2996578,Mid,Installment
CU0000266,PT00067,2025-04-30,2026-01-22,2,2844468,Premium,Card
CU0000267,PT00060,2024-12-23,2025-10-31,5,1097714,Entry,Card
CU0000268,PT00076,2024-11-28,2024-11-28,1,1488007,Mid,Installment
CU0000269,PT00016,2025-05-24,2025-12-19,3,1328923,Entry,Card
CU0000270,PT00015,2025-05-19,2025-11-05,2,2366608,Mid,Card
CU0000271,PT00063,2024-07-02,2025-10-09,2,1051609,Entry,Card
CU0000272,PT00057,2024-05-31,2024-05-31,1,2285630,Premium,Card
CU0000273,PT00062,2026-03-22,2026-03-22,1,1764937,Mid,Card
CU0000274,PT00059,2025-04-01,2025-04-01,1,740441,Entry,Card
CU0000275,PT00044,2025-11-22,2026-01-23,3,2612387,Mid,Installment
CU0000276,PT00071,2025-08-12,2025-11-17,5,934866,Entry,Card
CU0000277,PT00024,2024-05-21,2024-05-21,1,2817713,Premium,Card
CU0000278,PT00033,2024-07-10,2024-07-10,1,572179,Entry,Card
CU0000279,PT00050,2024-10-25,2024-10-25,1,1509039,Mid,Installment
CU0000280,PT00046,2025-10-06,2025-10-14,5,4172154,Premium,Installment
CU0000281,PT00044,2025-12-16,2026-04-25,2,1959190,Mid,Card
CU0000282,PT00026,2026-01-29,2026-02-24,2,4381697,Premium,Card
CU0000283,PT00038,2025-07-22,2025-08-06,2,1735301,Mid,Card
CU0000284,PT00042,2025-12-14,2025-12-14,1,1839425,Mid,Card
CU0000285,PT00017,2025-12-09,2025-12-09,1,825460,Entry,Card
CU0000286,PT00048,2024-09-14,2024-09-14,1,500847,Entry,Card
CU0000287,PT00065,2025-05-01,2025-05-01,1,1894879,Mid,Card
CU0000288,PT00044,2025-06-08,2026-02-16,5,1374207,Entry,Carrier Subscription
CU0000289,PT00039,2025-04-09,2026-03-30,5,6031525,Premium,Card
CU0000290,PT00015,2024-12-03,2025-04-22,2,1959854,Mid,Card
CU0000291,PT00017,2025-07-29,2025-07-29,1,1819233,Mid,Card
CU0000292,PT00031,2025-04-04,2025-04-04,1,601834,Entry,Carrier Subscription
CU0000293,PT00069,2025-09-06,2025-09-06,1,731690,Entry,Installment
CU0000294,PT00070,2026-01-23,2026-01-23,1,1912309,Mid,Card
CU0000295,PT00009,2025-05-17,2025-06-21,2,2451568,Mid,Card
CU0000296,PT00060,2025-05-01,2025-05-01,1,779183,Entry,Installment
CU0000297,PT00063,2025-01-26,2025-01-26,1,1393397,Mid,Carrier Subscription
CU0000298,PT00072,2025-03-14,2025-03-14,1,1789280,Mid,Installment
CU0000299,PT00049,2025-01-14,2025-01-14,1,1698051,Mid,Card
CU0000300,PT00024,2025-01-05,2025-03-27,5,2581733,Mid,Carrier Subscription
CU0000301,PT00042,2026-02-26,2026-02-26,1,1436931,Mid,Installment
CU0000302,PT00021,2024-09-02,2025-05-16,3,1697016,Mid,Carrier Subscription
CU0000303,PT00071,2025-03-16,2026-04-04,2,1475794,Mid,Installment
CU0000304,PT00010,2024-12-10,2025-10-17,2,727534,Entry,Card
CU0000305,PT00010,2026-01-22,2026-01-29,10,4881437,Mid,Installment
CU0000306,PT00078,2025-04-19,2025-05-23,2,939477,Entry,Installment
CU0000307,PT00018,2024-12-31,2025-07-15,2,666900,Entry,Card
CU0000308,PT00025,2025-01-07,2025-01-07,1,2612910,Premium,Installment
CU0000309,PT00032,2024-07-30,2024-07-30,1,1780257,Mid,Installment
CU0000310,PT00052,2025-12-22,2026-03-10,5,1290480,Entry,Card
CU0000311,PT00052,2026-03-03,2026-03-03,1,1923482,Mid,Carrier Subscription
CU0000312,PT00003,2025-06-04,2025-06-04,1,3407082,Premium,Carrier Subscription
CU0000313,PT00064,2026-01-31,2026-01-31,3,2676001,Mid,Installment
CU0000314,PT00007,2025-09-23,2026-04-21,3,3451349,Premium,Carrier Subscription
CU0000315,PT00047,2025-04-24,2025-10-01,3,2848569,Mid,Card
CU0000316,PT00042,2024-06-12,2024-11-04,5,2158403,Mid,Carrier Subscription
CU0000317,PT00002,2025-06-07,2025-10-25,2,2083915,Mid,Card
CU0000318,PT00052,2025-08-27,2025-08-27,1,1146717,Mid,Carrier Subscription
CU0000319,PT00018,2025-12-09,2026-03-15,5,3365516,Mid,Installment
CU0000320,PT00023,2025-08-29,2026-02-16,2,2442026,Mid,Card
CU0000321,PT00036,2025-12-12,2025-12-12,1,1848980,Mid,Carrier Subscription
CU0000322,PT00015,2024-06-10,2024-11-15,2,1167852,Entry,Card
CU0000323,PT00078,2024-11-24,2026-01-24,3,3052302,Premium,Card
CU0000324,PT00072,2024-08-10,2024-08-10,1,798695,Entry,Carrier Subscription
CU0000325,PT00034,2026-04-21,2026-04-21,1,568432,Entry,Card
CU0000326,PT00024,2024-12-10,2024-12-10,1,1697779,Mid,Installment
CU0000327,PT00036,2025-04-06,2025-04-06,1,3109432,Premium,Carrier Subscription
CU0000328,PT00030,2026-03-16,2026-03-16,1,1842501,Mid,Card
CU0000329,PT00029,2025-10-25,2026-01-27,2,662409,Entry,Installment
CU0000330,PT00049,2024-08-03,2024-08-25,3,1097463,Entry,Installment
CU0000331,PT00079,2025-09-02,2025-09-02,1,3364970,Premium,Card
CU0000332,PT00039,2025-08-16,2025-11-16,5,2315554,Mid,Card
CU0000333,PT00003,2025-11-03,2025-11-03,1,827015,Entry,Carrier Subscription
CU0000334,PT00003,2024-09-01,2024-09-01,1,787295,Entry,Card
CU0000335,PT00004,2024-12-28,2026-02-28,2,1741925,Mid,Card
CU0000336,PT00056,2024-05-11,2024-05-11,1,1267177,Mid,Installment
CU0000337,PT00065,2025-07-03,2025-07-03,1,1831454,Mid,Installment
CU0000338,PT00025,2025-03-13,2025-03-13,1,818717,Entry,Carrier Subscription
CU0000339,PT00026,2024-07-12,2024-07-12,1,552428,Entry,Carrier Subscription
CU0000340,PT00021,2024-10-22,2024-10-22,1,2742169,Premium,Card
CU0000341,PT00042,2026-02-13,2026-02-13,1,1053595,Mid,Installment
CU0000342,PT00002,2026-04-10,2026-04-12,2,1621169,Mid,Card
CU0000343,PT00069,2025-04-24,2025-04-24,1,1223057,Mid,Card
CU0000344,PT00012,2024-07-31,2024-07-31,1,806632,Entry,Installment
CU0000345,PT00017,2025-09-16,2025-09-16,1,1371846,Mid,Card
CU0000346,PT00037,2026-02-06,2026-02-06,1,1211196,Mid,Card
CU0000347,PT00079,2024-08-28,2024-08-28,1,2072995,Premium,Card
CU0000348,PT00004,2025-05-23,2026-02-25,3,1835353,Mid,Installment
CU0000349,PT00054,2024-12-13,2026-01-12,2,1627327,Mid,Card
CU0000350,PT00061,2025-10-30,2025-10-30,1,707429,Entry,Installment
CU0000351,PT00053,2024-11-29,2025-10-17,5,1069157,Entry,Installment
CU0000352,PT00036,2026-02-08,2026-02-08,1,2202377,Premium,Card
CU0000353,PT00010,2025-05-10,2025-05-10,1,722665,Entry,Installment
CU0000354,PT00003,2025-05-02,2025-08-04,2,1425148,Mid,Installment
CU0000355,PT00065,2025-04-20,2025-11-20,2,1003057,Entry,Card
CU0000356,PT00048,2024-08-21,2024-08-21,1,1104396,Mid,Card
CU0000357,PT00075,2025-02-22,2025-02-22,1,3195119,Premium,Carrier Subscription
