sku,product_line,product_name,launch_date,msrp_krw,is_current
MAC-0097,Mac,Mac Model 97,2024-12-17,3210000,1
IPH-0098,iPhone,iPhone Model 98,2023-08-20,1710000,0
IPA-0099,iPad,iPad Model 99,2024-02-07,630000,1
ACC-0100,Accessories,Accessories Model 100,2023-09-13,60000,0
IPH-0101,iPhone,iPhone Model 101,2023-01-15,1230000,0
IPH-0102,iPhone,iPhone Model 102,2022-08-18,1960000,0
IPH-0103,iPhone,iPhone Model 103,2024-10-16,1570000,1
IPA-0104,iPad,iPad Model 104,2024-12-04,1210000,1
IPH-0105,iPhone,iPhone Model 105,2022-01-09,2280000,0
IPA-0106,iPad,iPad Model 106,2025-10-18,890000,1
MAC-0107,Mac,Mac Model 107,2025-03-12,2900000,1
IPH-0108,iPhone,iPhone Model 108,2025-08-29,2100000,1
IPA-0109,iPad,iPad Model 109,2025-04-11,870000,1
IPH-0110,iPhone,iPhone Model 110,2025-10-07,1290000,1
IPH-0111,iPhone,iPhone Model 111,2022-06-15,1540000,0
WAT-0112,Watch,Watch Model 112,2025-04-24,520000,1
MAC-0113,Mac,Mac Model 113,2023-10-23,4310000,0
IPH-0114,iPhone,iPhone Model 114,2022-12-06,2160000,0
IPH-0115,iPhone,iPhone Model 115,2022-10-01,1960000,0
IPH-0116,iPhone,iPhone Model 116,2025-06-03,2240000,1
IPH-0117,iPhone,iPhone Model 117,2026-01-28,2160000,1
MAC-0118,Mac,Mac Model 118,2024-12-17,2300000,1
IPA-0119,iPad,iPad Model 119,2024-03-15,1670000,1
IPH-0120,iPhone,iPhone Model 120,2023-12-23,1840000,0
MAC-0121,Mac,Mac Model 121,2022-03-20,3980000,0
IPA-0122,iPad,iPad Model 122,2024-05-15,1670000,1
IPH-0123,iPhone,iPhone Model 123,2023-01-23,1580000,0
IPH-0124,iPhone,iPhone Model 124,2025-11-26,1330000,1
IPH-0125,iPhone,iPhone Model 125,2025-08-10,1470000,1
WAT-0126,Watch,Watch Model 126,2022-07-08,740000,0
WAT-0127,Watch,Watch Model 127,2023-12-11,1050000,0
IPH-0128,iPhone,iPhone Model 128,2022-07-27,2230000,0
MAC-0129,Mac,Mac Model 129,2025-05-29,1810000,1
IPA-0130,iPad,iPad Model 130,2023-12-23,1210000,0
IPH-0131,iPhone,iPhone Model 131,2024-11-03,1700000,1
IPH-0132,iPhone,iPhone Model 132,2024-04-05,1460000,1
IPH-0133,iPhone,iPhone Model 133,2024-05-18,1340000,1
WAT-0134,Watch,Watch Model 134,2024-07-14,670000,1
MAC-0135,Mac,Mac Model 135,2023-05-08,4340000,0
WAT-0136,Watch,Watch Model 136,2026-01-15,650000,1
WAT-0137,Watch,Watch Model 137,2025-03-19,810000,1
IPH-0138,iPhone,iPhone Model 138,2025-10-16,2040000,1
IPH-0139,iPhone,iPhone Model 139,2023-11-19,1630000,0
IPH-0140,iPhone,iPhone Model 140,2024-08-09,2360000,1
MAC-0141,Mac,Mac Model 141,2025-06-20,4390000,1
WAT-0142,Watch,Watch Model 142,2025-01-22,600000,1
IPH-0143,iPhone,iPhone Model 143,2025-10-17,1790000,1
IPA-0144,iPad,iPad Model 144,2024-02-24,960000,1
IPH-0145,iPhone,iPhone Model 145,2023-10-25,1540000,0
WAT-0146,Watch,Watch Model 146,2025-07-14,420000,1
WAT-0147,Watch,Watch Model 147,2025-11-09,880000,1
ACC-0148,Accessories,Accessories Model 148,2024-05-01,210000,1
MAC-0149,Mac,Mac Model 149,2023-11-24,1930000,0
WAT-0150,Watch,Watch Model 150,2025-10-25,620000,1
IPH-0151,iPhone,iPhone Model 151,2022-09-05,2280000,0
MAC-0152,Mac,Mac Model 152,2025-03-01,2440000,1
IPH-0153,iPhone,iPhone Model 153,2025-08-31,1370000,1
ACC-0154,Accessories,Accessories Model 154,2024-01-08,210000,1
MAC-0155,Mac,Mac Model 155,2023-12-01,4460000,0
WAT-0156,Watch,Watch Model 156,2023-02-07,590000,0
MAC-0157,Mac,Mac Model 157,2025-03-13,3610000,1
IPH-0158,iPhone,iPhone Model 158,2023-01-20,2110000,0
MAC-0159,Mac,Mac Model 159,2025-07-28,2440000,1
IPH-0160,iPhone,iPhone Model 160,2024-09-17,2070000,1
WAT-0161,Watch,Watch Model 161,2023-03-07,690000,0
WAT-0162,Watch,Watch Model 162,2025-04-04,900000,1
IPH-0163,iPhone,iPhone Model 163,2025-04-23,1960000,1
MAC-0164,Mac,Mac Model 164,2024-03-20,3240000,1
IPH-0165,iPhone,iPhone Model 165,2024-01-23,1300000,1
IPH-0166,iPhone,iPhone Model 166,2024-08-31,2200000,1
MAC-0167,Mac,Mac Model 167,2023-01-07,2660000,0
IPH-0168,iPhone,iPhone Model 168,2023-03-03,1420000,0
IPH-0169,iPhone,iPhone Model 169,2023-11-15,1240000,0
IPH-0170,iPhone,iPhone Model 170,2022-05-01,1900000,0
IPH-0171,iPhone,iPhone Model 171,2025-01-13,2010000,1
WAT-0172,Watch,Watch Model 172,2023-03-20,410000,0
ACC-0173,Accessories,Accessories Model 173,2022-12-31,210000,0
IPH-0174,iPhone,iPhone Model 174,2023-02-27,1470000,0
IPA-0175,iPad,iPad Model 175,2023-06-06,1370000,0
IPH-0176,iPhone,iPhone Model 176,2023-05-12,1400000,0
ACC-0177,Accessories,Accessories Model 177,2025-10-19,280000,1
IPH-0178,iPhone,iPhone Model 178,2024-04-19,1660000,1
ACC-0179,Accessories,Accessories Model 179,2022-05-06,370000,0
IPH-0180,iPhone,iPhone Model 180,2022-08-03,1360000,0
ACC-0181,Accessories,Accessories Model 181,2022-08-23,150000,0
IPH-0182,iPhone,iPhone Model 182,2022-12-26,1330000,0
ACC-0183,Accessories,Accessories Model 183,2023-08-19,370000,0
IPH-0184,iPhone,iPhone Model 184,2024-12-14,2250000,1
IPH-0185,iPhone,iPhone Model 185,2022-08-26,1500000,0
IPH-0186,iPhone,iPhone Model 186,2025-01-02,1990000,1
MAC-0187,Mac,Mac Model 187,2022-11-29,4000000,0
IPH-0188,iPhone,iPhone Model 188,2022-04-10,1860000,0
IPA-0189,iPad,iPad Model 189,2023-10-07,1230000,0
IPH-0190,iPhone,iPhone Model 190,2023-09-26,1490000,0
IPH-0191,iPhone,iPhone Model 191,2023-05-30,1310000,0
IPA-0192,iPad,iPad Model 192,2024-04-22,1670000,1
IPH-0193,iPhone,iPhone Model 193,2023-12-25,2280000,0
MAC-0194,Mac,Mac Model 194,2023-10-08,3500000,0
IPH-0195,iPhone,iPhone Model 195,2022-04-07,1600000,0
WAT-0196,Watch,Watch Model 196,2022-11-18,670000,0
IPH-0197,iPhone,iPhone Model 197,2025-07-17,2070000,1
MAC-0198,Mac,Mac Model 198,2023-10-15,4220000,0
MAC-0199,Mac,Mac Model 199,2023-08-29,4190000,0
IPA-0200,iPad,iPad Model 200,2025-11-06,1530000,1
